---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 02:21:08 (uptime: 0d, 00h 59m 45s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.mgr.flows_checked                                       | Total                     | 1116
flow.mgr.flows_notimeout                                     | Total                     | 684
flow.mgr.flows_timeout                                       | Total                     | 432
flow.mgr.flows_evicted                                       | Total                     | 432
flow.mgr.flows_evicted_needs_work                            | Total                     | 34
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 398
flow.recycler.queue_max                                      | Total                     | 4
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1388544
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9785856
---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 02:21:24 (uptime: 0d, 01h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 12005
capture.afpacket.polls                                       | Total                     | 432273
capture.afpacket.poll_timeout                                | Total                     | 428424
capture.afpacket.poll_data                                   | Total                     | 3849
decoder.pkts                                                 | Total                     | 12004
decoder.bytes                                                | Total                     | 5534964
decoder.ipv4                                                 | Total                     | 11570
decoder.ipv6                                                 | Total                     | 62
decoder.ethernet                                             | Total                     | 12004
decoder.arp                                                  | Total                     | 372
decoder.tcp                                                  | Total                     | 10841
tcp.syn                                                      | Total                     | 56
tcp.synack                                                   | Total                     | 56
tcp.rst                                                      | Total                     | 19
decoder.udp                                                  | Total                     | 784
decoder.icmpv6                                               | Total                     | 7
decoder.avg_pkt_size                                         | Total                     | 461
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 454
flow.active                                                  | Total                     | 20
flow.tcp                                                     | Total                     | 63
flow.udp                                                     | Total                     | 384
flow.icmpv6                                                  | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted_needs_work                            | Total                     | 34
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 36
flow.wrk.flows_injected                                      | Total                     | 34
tcp.sessions                                                 | Total                     | 56
tcp.ssn_from_cache                                           | Total                     | 21
tcp.ssn_from_pool                                            | Total                     | 35
tcp.pseudo                                                   | Total                     | 12
tcp.segment_from_cache                                       | Total                     | 2412
tcp.segment_from_pool                                        | Total                     | 96
detect.alert                                                 | Total                     | 1
detect.alerts_suppressed                                     | Total                     | 347
app_layer.flow.http                                          | Total                     | 16
app_layer.tx.http                                            | Total                     | 18
app_layer.flow.tls                                           | Total                     | 34
app_layer.flow.ssh                                           | Total                     | 6
app_layer.flow.ntp                                           | Total                     | 260
app_layer.flow.dhcp                                          | Total                     | 4
app_layer.flow.mdns                                          | Total                     | 44
app_layer.flow.dns_udp                                       | Total                     | 76
app_layer.tx.dns_udp                                         | Total                     | 152
app_layer.tx.ntp                                             | Total                     | 514
app_layer.tx.dhcp                                            | Total                     | 8
app_layer.tx.mdns                                            | Total                     | 110
flow.end.state.new                                           | Total                     | 61
flow.end.state.established                                   | Total                     | 319
flow.end.state.closed                                        | Total                     | 54
flow.end.tcp_state.closed                                    | Total                     | 54
flow.mgr.full_hash_pass                                      | Total                     | 398
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1119
flow.mgr.flows_notimeout                                     | Total                     | 685
flow.mgr.flows_timeout                                       | Total                     | 434
flow.mgr.flows_evicted                                       | Total                     | 434
flow.mgr.flows_evicted_needs_work                            | Total                     | 34
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 400
flow.recycler.queue_max                                      | Total                     | 4
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1388544
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
